,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,id
47,0.345,0.941,-9.918,0.0466,3.84e-05,0.633,0.0511,179.626,7EkWXAI1wn8Ii883ecd9xr
48,0.471,0.924,-3.906,0.0586,0.00301,0.0,0.313,154.961,2iUmqdfGZcHIhS3b9E9EWq
49,0.262,0.606,-6.646,0.0484,0.247,0.0,0.125,189.857,3zHq9ouUJQFQRf3cm1rRLu
50,0.825,0.832,-5.853,0.0403,0.00587,0.000789,0.114,122.021,7rl7ao5pb9BhvAzPdWStxi
51,0.754,0.802,-6.424,0.0551,0.0349,0.0,0.335,122.026,4Tt6GiWS2V9sQjZjS2xjp2
52,0.766,0.283,-10.33,0.0846,0.111,0.0172,0.115,97.04,6n3HGiq4v35D6eFOSwqYuo
53,0.753,0.68,-7.092,0.0349,0.326,4.15e-05,0.423,105.977,0kEZlJh4mK1QRfb3CT5LPk
54,0.644,0.549,-5.415,0.0285,0.0209,8.85e-06,0.134,90.04,6IwKcFdiRQZOWeYNhUiWIv
55,0.699,0.529,-7.548,0.0487,0.0317,3.59e-05,0.285,119.987,3DmW6y7wTEYHJZlLo1r6XJ
56,0.697,0.467,-7.536,0.0715,0.248,0.0,0.0941,82.082,3goSVuTt3fDYDP6kRnFwuL
57,0.706,0.46,-9.061,0.0296,0.847,0.00793,0.106,102.98,6iWEhoALoBFnQMNVhYY0Sc
58,0.662,0.714,-5.68,0.121,0.312,0.0,0.179,147.997,52okn5MNA47tk87PeZJLEL
59,0.579,0.736,-3.863,0.0527,0.31,0.0,0.198,127.999,2Zr5zgU9qEoOPvJbU0GScq
60,0.93,0.383,-9.34,0.409,0.0896,0.0,0.119,125.967,43VXG87ajppI8mO1Mxo8vu
61,0.726,0.431,-8.765,0.135,0.731,0.0,0.696,144.026,7eJMfftS33KTjuF7lTsMCx
62,0.77,0.347,-10.265,0.0623,0.0511,2.57e-06,0.087,84.957,6cEguiQecbXrFlsnMi2ysr
63,0.805,0.33,-8.712,0.1,0.22,0.0,0.105,121.97,7t2bFihaDvhIrd2gn2CWJO
64,0.447,0.848,-6.175,0.222,0.033,7.46e-05,0.65,172.253,1ixbwbeBi5ufN4noUKmW5a
65,0.537,0.746,-5.507,0.15,0.0236,1.01e-06,0.156,170.062,6bnF93Rx87YqUBLSgjiMU8
66,0.785,0.903,-4.184,0.21,0.258,0.0,0.169,139.98,29TPjc8wxfz4XMn21O7VsZ
67,0.753,0.657,-3.061,0.0449,0.171,0.0,0.112,107.01,09IStsImFySgyp0pIQdqAc
68,0.81,0.353,-9.931,0.31,0.588,0.0,0.102,88.031,0AluA5RNsa4Cx6XRhf2hWZ
69,0.461,0.834,-4.868,0.0989,0.0232,1.14e-05,0.14,135.007,6PCUP3dWmTjcTtXY02oFdT
70,0.317,0.172,-10.636,0.0326,0.907,0.000383,0.105,65.18,273QnyCvJB65rScHJ1nPZb
71,0.788,0.43,-7.757,0.0419,0.537,0.00261,0.0936,121.996,5eYVjWYsfGUqpkzM9uef7Q
72,0.56,0.595,-4.53,0.0274,0.199,6.47e-05,0.132,104.011,5hnyJvgoWiQUYZttV4wXy6
73,0.935,0.454,-7.509,0.375,0.0194,0.0,0.0824,133.073,4Oun2ylbjFKMPTiaSbbCih
74,0.815,0.518,-6.594,0.0897,0.223,0.0,0.104,151.891,0uI7yAKUf52Cn7y3sYyjiX
75,0.765,0.523,-4.333,0.03,0.184,3.56e-05,0.132,104.988,1rfofaqEpACxVEHIZBJe6W
76,0.831,0.499,-8.442,0.114,0.269,0.0,0.3,97.956,07KXEDMj78x68D884wgVEm
77,0.951,0.6,-4.675,0.0685,0.106,0.0,0.0712,125.04,0k2GOhqsrxDTAbFFSdNJjT
78,0.706,0.728,-3.602,0.0852,0.123,0.0,0.185,121.017,3xSp2wM7K4wrjZivuCRwox
79,0.671,0.771,-4.821,0.0316,0.00492,7.28e-06,0.354,90.003,27tNWlhdAryQY04Gb2ZhUI
80,0.777,0.414,-7.44,0.0946,0.00421,2.73e-05,0.0724,100.002,2aSC2xhRxOLiiZZVjhbylH
81,0.676,0.771,-3.675,0.0483,0.0237,7e-06,0.102,99.048,3jjujdWJ72nww5eGnfs2E7
82,0.678,0.918,-4.63,0.0355,0.000417,0.0,0.0744,130.028,1nZzRJbFvCEct3uzu04ZoL
83,0.583,0.695,-5.336,0.0423,0.0141,0.0,0.0527,104.879,0g5EKLgdKvNlln7TNqBByK
84,0.732,0.458,-7.225,0.0311,0.447,0.0,0.136,98.938,7mldq42yDuxiUNn08nvzHO
85,0.652,0.898,-4.481,0.0361,0.29,0.0,0.073,114.043,49COPp81lGS9Hl9OwKlsKl
86,0.812,0.628,-6.164,0.0682,0.0634,0.0,0.254,123.004,4PnNzWe1LJoAMD5j5RHpI0
87,0.37,0.467,-9.013,0.0273,0.0205,0.572,0.109,94.485,0yc6Gst2xkRu0eMLeRMGCX
88,0.772,0.685,-6.849,0.0696,0.019,8.96e-05,0.131,130.033,2iJuuzV8P9Yz0VSurttIV5
89,0.645,0.713,-5.355,0.0393,0.00835,0.0,0.113,74.989,2Z8WuEywRWYTKe1NybPQEW
90,0.714,0.472,-7.375,0.0864,0.013,4.51e-06,0.266,131.121,3nqQXoyQOWXiESFLlDF1hG
91,0.725,0.747,-5.545,0.0876,0.0272,0.0468,0.104,132.921,4yffABDkB5A9flvr9vQFck
92,0.877,0.391,-8.196,0.063,0.0317,0.000502,0.0945,131.018,6UjfByV1lDLW0SOVQA4NAi
93,0.659,0.618,-5.863,0.0642,0.261,0.0,0.184,119.84,1B4Mt5DvMxocvcr7cj5Rdv
94,0.764,0.751,-3.74,0.0703,0.00554,0.000237,0.164,91.977,2HWWNoWEEEECwZhAiLg7ib
95,0.761,0.933,-5.38,0.056,0.0908,8.53e-05,0.0607,122.959,4Y7XAxTANhu3lmnLAzhWJW
96,0.85,0.405,-7.509,0.225,0.119,0.000118,0.0707,139.976,5tFep7dXGd7vEJ668wTPux
97,0.657,0.734,-4.832,0.484,0.149,0.0,0.139,91.03,5SkRLpaGtvYPhw02vZhQQ9
98,0.655,0.819,-4.852,0.0316,0.000176,0.00374,0.104,117.956,6Z8R6UsFuGXGtiIxiD8ISb
99,0.542,0.905,-5.653,0.054,0.00172,0.0104,0.136,153.398,5A1FmxbYVRZKy4nc16MAue
100,0.742,0.713,-5.522,0.0303,0.0205,0.0,0.059,120.032,4gbVRS8gloEluzf0GzDOFc
101,0.855,0.624,-4.093,0.0488,0.158,0.0,0.0513,117.959,4c2W3VKsOFoIg2SFaO6DY5
102,0.727,0.681,-7.114,0.0265,0.00214,0.000307,0.0861,123.028,6OufwUcCqo81guU2jAlDVP
103,0.531,0.803,-3.284,0.0717,0.0796,1.71e-05,0.176,142.113,22L7bfCiAkJo5xGSQgmiIO
104,0.719,0.671,-6.279,0.0336,0.0372,8.21e-06,0.12,130.027,13P5rwmk2EsoFRIz9UCeh9
105,0.694,0.712,-3.923,0.046,0.132,0.0,0.211,98.023,2kvgmr5CFhSvleQqTjB3eP
106,0.577,0.45,-8.516,0.0834,0.357,0.0,0.111,205.863,52xJxFP6TqMuO4Yt0eOkMz
107,0.74,0.488,-7.664,0.27,0.234,0.0,0.241,149.042,7rvyVWja33WG9R97oeJAjx
108,0.389,0.665,-6.169,0.0644,0.178,0.000732,0.116,117.055,1RGsZfUwt2a6yLzL2yoj1X
109,0.749,0.865,-5.228,0.0413,0.00536,0.0,0.198,111.914,5SsR3wtCOafDmZgvIdRhSm
110,0.866,0.438,-8.943,0.0719,0.177,0.0,0.0743,129.039,2W4yABdLc4Jnds67Poi5Nl
111,0.884,0.581,-8.813,0.0378,0.427,0.000206,0.0759,114.016,34xGLuxM0rkxhCVyMSqwJO
112,0.906,0.382,-12.89,0.269,0.18,0.0,0.113,104.025,5GBuCHuPKx6UC7VsSPK0t3
113,0.573,0.63,-8.389,0.105,0.189,2.31e-05,0.259,77.525,4F7A0DXBrmUAkp32uenhZt
114,0.719,0.538,-6.897,0.28,0.632,0.0,0.135,204.132,4e0FYxSROat25pH16zMTZI
115,0.68,0.942,-4.208,0.0631,0.175,0.0013,0.117,123.976,5s7xgzXtmY4gMjeSlgisjy
116,0.663,0.861,-3.398,0.109,0.0338,0.0,0.082,119.963,4356Typ82hUiFAynbLYbPn
117,0.535,0.612,-7.406,0.0584,0.233,0.0,0.227,144.881,61WR5FfGNLJxpLsAc61qWQ
118,0.507,0.48,-5.418,0.0266,0.449,0.0,0.147,86.046,4H7WNRErSbONkM06blBoGc
119,0.918,0.58,-7.501,0.322,0.00108,6.12e-05,0.106,139.977,6HJ34Zyw6bg8yGm28AxLXf
120,0.803,0.715,-3.28,0.298,0.295,0.000134,0.0574,101.085,7k4t7uLgtOxPwTpFmtJNTY
121,0.569,0.403,-8.618,0.0439,0.593,4.49e-06,0.102,119.819,69HzZ3ti9DLwb0GdWCGYSo
122,0.747,0.705,-5.137,0.126,0.0128,0.0,0.126,136.024,02M6vucOvmRfMxTXDUwRXu
123,0.774,0.753,-5.446,0.0517,0.152,0.0,0.0371,119.002,76hfruVvmfQbw0eYn1nmeC
124,0.776,0.78,-4.374,0.128,0.0622,0.0,0.081,124.949,0pqnGHJpmpxLKifKRmU6WP
125,0.711,0.508,-7.299,0.0502,0.0355,0.0,0.141,98.098,4q6dqyGM25sKFU8nYAGRe4
126,0.581,0.662,-5.239,0.303,0.0153,0.0,0.111,93.023,1wJRveJZLSb1rjhnUHQiv6
127,0.603,0.784,-4.023,0.062,0.446,8.32e-06,0.119,172.041,3EaJDYHA0KnX88JvDhL9oa
128,0.707,0.813,-4.515,0.0571,0.0863,0.0,0.168,124.921,2VOomzT6VavJOGBeySqaMc
129,0.428,0.626,-6.639,0.0339,0.222,8.22e-05,0.277,86.02,4Ouhoi2lAhrLJKFzUqEzwl
130,0.856,0.527,-5.225,0.0997,0.392,0.0,0.11,98.052,0Dc7J9VPV4eOInoxUiZrsL
131,0.417,0.332,-9.482,0.0494,0.773,1.95e-05,0.109,119.156,74sb4Gib0cL3TQeCjYF8vh
132,0.731,0.675,-5.134,0.0434,0.00473,0.0,0.141,124.939,7kDUspsoYfLkWnZR7qwHZl
133,0.733,0.71,-5.849,0.0292,0.145,0.115,0.0956,127.975,7w87IxuO7BDcJ3YUqCyMTT
134,0.731,0.445,-8.418,0.0533,0.0586,1.96e-05,0.14,117.97,55n9yjI6qqXh5F2mYvUc2y
135,0.638,0.832,-5.039,0.049,0.141,0.0,0.113,124.071,4TVuirwgzxe9fWRBoWtPpq
136,0.747,0.524,-6.807,0.245,0.0306,0.0,0.2,140.053,40oKW22ZNNkEdZLJTScaQI
137,0.893,0.48,-3.728,0.356,0.00855,0.0,0.116,86.976,5lFDtgWsjRJu8fPOAyJIAK
138,0.687,0.792,-4.023,0.0353,0.000802,0.0,0.2,133.962,3oL3XRtkP1WVbMxf7dtTdu
139,0.672,0.588,-9.573,0.133,0.619,0.241,0.0992,169.033,1VGzxJnVQND7Cg5H5wGj14
140,0.555,0.772,-5.007,0.0523,0.315,0.0,0.105,86.921,5lF0pHbsJ0QqyIrLweHJPW
141,0.654,0.655,-7.388,0.106,0.0294,0.0,0.139,170.16,6xsEAm6w9oMQYYg3jkEkMT
142,0.323,0.405,-8.533,0.0413,0.849,0.000544,0.138,145.104,3Z0oQ8r78OUaHvGPiDBR3W
143,0.809,0.545,-6.678,0.0735,0.392,0.0,0.151,97.008,3QzAOrNlsabgbMwlZt7TAY
144,0.842,0.46,-8.131,0.0648,0.0274,0.0,0.0881,139.992,61sRkEACcXECFXGjbEzm4V
145,0.546,0.787,-4.1,0.0517,0.0101,0.00021,0.0809,79.979,6LoQHIo74tOzQ8EsLEkhgF
146,0.6,0.683,-6.271,0.0493,0.0984,1.26e-06,0.11,102.036,514rhnksEwHUh6LxXsQ4Y9
147,0.712,0.481,-5.415,0.0487,0.173,0.0,0.241,140.0,11kDth1aKUEUMq9r1pqyds
148,0.421,0.873,-4.343,0.0564,0.0654,0.0,0.123,84.786,7wMq5n8mYSKlQIGECKUgTX
149,0.704,0.598,-4.922,0.0309,0.0283,0.0,0.106,115.483,3qrH2YFnbEiQeUe4wzgOuP
150,0.578,0.43,-6.134,0.0305,0.33,0.0,0.0854,78.991,1Yk0cQdMLx5RzzFTYwmuld
151,0.901,0.522,-8.304,0.33,0.0114,0.0,0.259,104.053,4S8d14HvHb70ImctNgVzQQ
152,0.574,0.909,-1.573,0.0658,0.0987,0.0,0.264,169.966,3zhbXKFjUDw40pTYyCgt1Y
153,0.447,0.694,-4.637,0.382,0.0293,5.46e-06,0.167,175.868,6RX5iL93VZ5fKmyvNXvF1r
154,0.644,0.661,-6.093,0.0418,0.000177,5.23e-06,0.108,153.992,5W7BcYDIaeXnpG3e39T7hJ
155,0.64,0.789,-4.891,0.0644,0.0875,0.0,0.147,75.018,15og0pCEcTFWEXOFKdcJlU
156,0.791,0.587,-5.075,0.0413,0.407,0.0,0.148,96.057,3Ol2xnObFdKV9pmRD2t9x8
157,0.678,0.533,-10.485,0.186,0.462,0.219,0.139,150.455,3XF5xLJHOQQRbWya6hBp7d
158,0.574,0.37,-10.803,0.0841,0.634,9.4e-05,0.0986,83.162,1fHRzxbts9A8J1ergDe7Kz
159,0.722,0.893,-3.255,0.0475,0.0441,0.000937,0.0673,119.932,3iw6V4LH7yPj1ESORX9RIN
160,0.811,0.553,-6.644,0.0552,0.317,0.0,0.105,148.014,364dI1bYnvamSnBJ8JcNzN
161,0.671,0.636,-8.117,0.103,0.515,0.000411,0.172,120.966,3uUuGVFu1V7jTQL60S1r8z
162,0.562,0.904,-4.947,0.0807,0.00302,0.0,0.0433,94.481,3px2rAPu74ltbkf9eZsZ8h
163,0.612,0.921,-2.882,0.085,0.0183,0.0,0.0576,139.988,70eDxAyAraNTiD6lx2ZEnH
164,0.414,0.486,-6.431,0.0311,0.0129,0.0,0.111,128.038,4ut5G4rgB1ClpMTMfjoIuy
165,0.762,0.863,-3.689,0.0561,0.015,0.0,0.125,106.012,6s8nHXTJVqFjXE4yVZPDHR
166,0.588,0.67,-6.439,0.0473,0.0104,3.33e-06,0.338,118.159,5N4erncE7kuUccm7zEmwzk
167,0.572,0.572,-8.324,0.3,0.254,0.0,0.191,94.897,5203pcq3cNteJuOVhIEnt6
168,0.648,0.736,-7.948,0.0385,0.0444,0.000137,0.171,103.027,2FiSTH0GYpIioUgjfzMIja
169,0.629,0.696,-5.572,0.348,0.0195,0.0,0.0554,93.034,3QHPHLAkYV5cQBUYs6rowx
170,0.414,0.807,-4.12,0.348,0.0428,0.0,0.822,175.158,7Ezwtgfw7khBrpvaNPtMoT
171,0.605,0.822,-4.833,0.0438,0.00671,0.134,0.147,167.997,1zB4vmk8tFRmM9UULNzbLB
172,0.391,0.808,-6.209,0.0892,0.0759,0.0,0.149,100.304,7BHPGtpuuWWsvE7cCaMuEU
173,0.677,0.671,-4.905,0.0361,0.004,5.07e-05,0.413,137.046,30cSNer6TV8x2utjULVeQ5
174,0.623,0.734,-5.948,0.107,0.0162,1.75e-06,0.145,107.853,63y6xWR4gXz7bnUGOk8iI6
175,0.768,0.82,-4.63,0.0474,0.179,0.0,0.689,129.965,2V4bv1fNWfTcyRJKmej6Sj
176,0.823,0.552,-7.57,0.324,0.0174,0.0,0.122,124.038,2u3EyuCqqV31woqGvO9LBz
177,0.735,0.795,-6.523,0.113,0.0296,3.18e-05,0.0678,122.0,1nH2PkJL1XoUq8oE6tBZoU
178,0.516,0.764,-6.223,0.0366,0.0717,0.0,0.115,148.021,1NhPKVLsHhFUHIOZ32QnS2
179,0.936,0.523,-6.71,0.0597,0.239,0.0,0.117,119.889,43ZyHQITOjhciSUUNPVRHc
180,0.665,0.651,-5.515,0.156,0.0414,0.0,0.0896,163.935,3oDkdAySo1VQQG0ptV7uwa
181,0.925,0.443,-8.216,0.264,0.0172,0.0,0.276,136.078,2bjwRfXMk4uRgOD9IBYl9h
182,0.474,0.631,-5.884,0.343,0.0687,0.0,0.132,180.051,6Gg1gjgKi2AK4e0qzsR7sd
183,0.683,0.53,-4.918,0.142,0.207,0.0,0.394,75.016,7F9vK8hNFMml4GtHsaXui6
184,0.691,0.79,-5.216,0.0561,0.0243,0.0,0.0453,95.047,62aXseVSNAFLRweK5nyb3F
185,0.672,0.717,-2.714,0.034,0.341,2.4e-05,0.106,160.981,5VuxWXbt7XENQCtE9TzpTv
186,0.778,0.566,-6.959,0.0311,0.672,0.000197,0.0698,117.971,3c8iiZGfEammKJuWTErE5x
187,0.84,0.766,-4.12,0.136,0.00302,3.61e-06,0.0684,94.018,20BOju91NaEFK5Py4VJ2pp
188,0.762,0.748,-4.15,0.033,0.0266,0.0,0.348,110.009,6St9lR6dhV2tpCNVz7qfrS
189,0.686,0.494,-7.093,0.0355,0.613,5.8e-05,0.402,168.946,4k6Uh1HXdhtusDW5y8Gbvy
190,0.692,0.809,-4.198,0.0602,0.524,0.0,0.147,123.911,6LsAAHotRLMOHfCsSfYCsz
191,0.772,0.639,-7.119,0.467,0.15,0.0,0.0698,168.112,6uFn47ACjqYkc0jADwEdj1
192,0.375,0.862,-3.363,0.255,0.071,0.0,0.211,159.841,3jlbL2OTD5YmIunYzgQTAN
193,0.611,0.644,-7.607,0.0553,0.124,0.0,0.124,105.969,6jA8HL9i4QGzsj6fjoxp8Y
194,0.688,0.702,-4.792,0.0499,0.0215,0.0,0.128,94.006,3jomjC6H7YQBRr2CHPtc4y
195,0.799,0.597,-5.131,0.0611,0.0788,5.66e-06,0.1,110.001,0GxQ1A5L9xnMOytbP6eKBG
196,0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,0.371,128.04,4uUG5RXrOk84mYEfFvj3cK
197,0.667,0.373,-9.389,0.05,0.785,0.0,0.0906,124.148,45bE4HXI0AwGZXfZtMp8JR
198,0.812,0.519,-4.823,0.0385,0.379,0.0,0.13,104.954,4a6q8CR2hzLk2plDkSxkfD
199,0.829,0.539,-7.359,0.208,0.136,1.78e-06,0.103,99.96,7xQAfvXzm3AkraOtGPWIZg
200,0.563,0.576,-6.495,0.0401,0.171,0.0,0.158,75.019,5cYFwgA5dHoqR3xGnlr9ew
201,0.653,0.524,-9.016,0.0502,0.112,0.0,0.203,83.97,6tDDoYIxWvMLTdKpjFkc1B
202,0.601,0.741,-5.569,0.0478,0.185,2.91e-05,0.415,153.96,6I3mqTwhRpn34SLVafSH7G
203,0.727,0.599,-6.941,0.327,0.317,0.0,0.219,167.909,0Y0TOsE1q11qgbi7c5WZsG
204,0.869,0.555,-5.984,0.0454,0.137,0.0,0.0746,112.003,1qYKWcEOrh2tM8PlgIm8K1
205,0.714,0.8,-4.808,0.0504,0.127,0.0,0.359,134.002,3Wrjm47oTz2sjIgck11l5e
206,0.448,0.665,-4.203,0.026,0.06,2.55e-05,0.0828,172.004,1SKPmfSYaPsETbRHaiA18G
207,0.677,0.744,-6.806,0.0295,0.0404,0.00016,0.074,124.08,1DFD5Fotzgn6yYXkYsKiGs
208,0.655,0.632,-4.802,0.0489,0.0189,0.0,0.0722,120.113,3bnVBN67NBEzedqQuWrpP4
209,0.399,0.491,-10.778,0.0538,0.0563,0.00089,0.11,91.066,6AGOKlMZWLCaEJGnaROtF9
210,0.769,0.684,-5.019,0.0411,0.0105,0.000125,0.0887,127.972,7ySUcLPVX7KudhnmNcgY2D
211,0.731,0.807,-6.492,0.1,0.181,0.751,0.319,114.759,2bLqfJjuC5syrsgDsZfGmn
212,0.707,0.955,-4.593,0.222,0.127,0.0,0.202,125.989,78qd8dvwea0Gosb6Fe6j3k
213,0.592,0.457,-6.081,0.0603,0.661,0.000331,0.146,146.04,2ZRo7axmMPeSVUvDbGkJah
214,0.764,0.705,-3.463,0.0284,0.259,8.92e-05,0.12,110.97,3DarAbFujv6eYNliUTyqtz
215,0.804,0.886,-2.512,0.04,0.0837,0.0,0.266,144.946,0pSBuHjILhNEo55xK1zrRt
216,0.614,0.68,-4.58,0.0289,0.369,1.84e-06,0.115,149.959,6foY66mWZN0pSRjZ408c00
217,0.773,0.75,-4.009,0.117,0.109,0.0,0.174,123.426,0uxSUdBrJy9Un0EYoBowng
218,0.517,0.906,-3.677,0.0735,0.00272,9.26e-06,0.113,172.977,3l9CW99AHtExIRV4hW2N5m
219,0.8,0.591,-8.808,0.271,0.111,0.0,0.429,117.003,2gQYziDV5cSTRSqr6akzi5
220,0.637,0.713,-4.333,0.0747,0.181,0.000637,0.137,129.923,4eWQlBRaTjPPUlzacqEeoQ
221,0.443,0.533,-6.548,0.0396,0.371,0.0,0.128,77.344,39jXnbACjiaiTwwhsr5sY5
222,0.785,0.431,-8.756,0.0364,0.123,0.0,0.0887,127.085,0Aqi7ArnBrGblW5T6p2jmD
223,0.724,0.675,-5.267,0.0867,0.0978,9.41e-06,0.351,160.048,33gwZOGJWEZ7dRWPqPxBEZ
224,0.758,0.712,-3.781,0.112,0.0185,0.0,0.0677,149.998,2q4rjDy9WhaN3o9MvDbO21
225,0.789,0.858,-5.542,0.311,0.127,0.0,0.349,140.022,1auxYwYrFRqZP7t3s7w4um
226,0.773,0.758,-4.993,0.0381,0.0422,0.0,0.305,144.033,18n3RlT0UNcy2yHImHy8IT
227,0.691,0.631,-6.478,0.0368,0.0483,1.13e-05,0.104,92.004,086myS9r57YsLbJpU0TgK9
228,0.771,0.671,-5.617,0.0553,0.00929,0.0,0.0637,85.026,6RRNNciQGZEXnqk8SQ9yv5
229,0.782,0.435,-7.033,0.156,0.333,1.31e-05,0.342,82.996,5u6vkDnOyaf8LsteDAj2ub
230,0.7,0.709,-5.006,0.0838,0.0048,0.0,0.029,122.019,1gv4xPanImH17bKZ9rOveR
231,0.504,0.785,-4.802,0.104,0.0738,0.0,0.239,173.968,4v0hWD4N6qefyFrmSGLjTV
232,0.785,0.525,-7.556,0.042,0.669,0.439,0.114,90.853,3WRQUvzRvBDr4AxMWhXc5E
233,0.639,0.785,-6.167,0.174,0.0174,0.00107,0.0512,191.95,6bLopGnirdrilrpdVB6Um1
234,0.481,0.285,-10.848,0.0424,0.9,0.0,0.123,130.029,2IjyFRCRn8x1bEquOM3vxg
