,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
962,0.684,0.834,2,-4.524,0,0.0675,0.0646,0.0,0.271,0.538,164.02,audio_features,5A6OHHy73AR5tLxgTc98zz,spotify:track:5A6OHHy73AR5tLxgTc98zz,https://api.spotify.com/v1/tracks/5A6OHHy73AR5tLxgTc98zz,https://api.spotify.com/v1/audio-analysis/5A6OHHy73AR5tLxgTc98zz,217667,4
963,0.708,0.843,7,-2.66,1,0.314,0.397,0.0,0.799,0.625,148.14,audio_features,6or1bKJiZ06IlK0vFvY75k,spotify:track:6or1bKJiZ06IlK0vFvY75k,https://api.spotify.com/v1/tracks/6or1bKJiZ06IlK0vFvY75k,https://api.spotify.com/v1/audio-analysis/6or1bKJiZ06IlK0vFvY75k,363521,4
964,0.346,0.5,10,-6.097,1,0.0388,0.757,0.0,0.189,0.191,202.466,audio_features,6VhuP99TE6gYNQRJIlAWFD,spotify:track:6VhuP99TE6gYNQRJIlAWFD,https://api.spotify.com/v1/tracks/6VhuP99TE6gYNQRJIlAWFD,https://api.spotify.com/v1/audio-analysis/6VhuP99TE6gYNQRJIlAWFD,176667,3
965,0.75,0.608,1,-4.008,1,0.0387,0.00165,0.0,0.178,0.958,132.507,audio_features,4pt5fDVTg5GhEvEtlz9dKk,spotify:track:4pt5fDVTg5GhEvEtlz9dKk,https://api.spotify.com/v1/tracks/4pt5fDVTg5GhEvEtlz9dKk,https://api.spotify.com/v1/audio-analysis/4pt5fDVTg5GhEvEtlz9dKk,173347,4
966,0.613,0.764,2,-6.509,1,0.136,0.0527,0.0,0.197,0.417,160.015,audio_features,2yLa0QULdQr0qAIvVwN6B5,spotify:track:2yLa0QULdQr0qAIvVwN6B5,https://api.spotify.com/v1/tracks/2yLa0QULdQr0qAIvVwN6B5,https://api.spotify.com/v1/audio-analysis/2yLa0QULdQr0qAIvVwN6B5,208187,4
967,0.789,0.711,2,-4.248,1,0.041,0.0332,0.0,0.0876,0.753,112.985,audio_features,59qrUpoplZxbIZxk6X0Bm3,spotify:track:59qrUpoplZxbIZxk6X0Bm3,https://api.spotify.com/v1/tracks/59qrUpoplZxbIZxk6X0Bm3,https://api.spotify.com/v1/audio-analysis/59qrUpoplZxbIZxk6X0Bm3,190306,4
968,0.687,0.793,2,-4.254,1,0.166,0.0603,0.0,0.582,0.751,107.045,audio_features,5sNESr6pQfIhL3krM8CtZn,spotify:track:5sNESr6pQfIhL3krM8CtZn,https://api.spotify.com/v1/tracks/5sNESr6pQfIhL3krM8CtZn,https://api.spotify.com/v1/audio-analysis/5sNESr6pQfIhL3krM8CtZn,205733,4
969,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,audio_features,6RUKPb4LETWmmr3iAEQktW,spotify:track:6RUKPb4LETWmmr3iAEQktW,https://api.spotify.com/v1/tracks/6RUKPb4LETWmmr3iAEQktW,https://api.spotify.com/v1/audio-analysis/6RUKPb4LETWmmr3iAEQktW,247160,4
970,0.581,0.877,8,-4.938,1,0.114,0.0151,0.0,0.826,0.353,77.006,audio_features,46NzAxDzsE443IsyZndZfP,spotify:track:46NzAxDzsE443IsyZndZfP,https://api.spotify.com/v1/tracks/46NzAxDzsE443IsyZndZfP,https://api.spotify.com/v1/audio-analysis/46NzAxDzsE443IsyZndZfP,236883,4
971,0.812,0.621,5,-8.3,1,0.0515,0.244,0.0,0.099,0.847,77.998,audio_features,5uQOauh47VFt3B2kV9kRXw,spotify:track:5uQOauh47VFt3B2kV9kRXw,https://api.spotify.com/v1/tracks/5uQOauh47VFt3B2kV9kRXw,https://api.spotify.com/v1/audio-analysis/5uQOauh47VFt3B2kV9kRXw,128157,4
