,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
404,0.554,0.932,5,-3.424,0,0.0485,0.00154,0.000142,0.425,0.478,112.49,audio_features,1vcxF91pWs9uNwDROuiCPB,spotify:track:1vcxF91pWs9uNwDROuiCPB,https://api.spotify.com/v1/tracks/1vcxF91pWs9uNwDROuiCPB,https://api.spotify.com/v1/audio-analysis/1vcxF91pWs9uNwDROuiCPB,242280,4
405,0.389,0.872,1,-4.968,1,0.103,0.00237,4.11e-06,0.313,0.222,162.54,audio_features,3AglCqd6PT4zp2Hv7oOKBl,spotify:track:3AglCqd6PT4zp2Hv7oOKBl,https://api.spotify.com/v1/tracks/3AglCqd6PT4zp2Hv7oOKBl,https://api.spotify.com/v1/audio-analysis/3AglCqd6PT4zp2Hv7oOKBl,205933,4
406,0.52,0.775,0,-5.803,1,0.0348,0.034,0.0,0.364,0.382,136.028,audio_features,6xpDh0dXrkVp0Po1qrHUd8,spotify:track:6xpDh0dXrkVp0Po1qrHUd8,https://api.spotify.com/v1/tracks/6xpDh0dXrkVp0Po1qrHUd8,https://api.spotify.com/v1/audio-analysis/6xpDh0dXrkVp0Po1qrHUd8,249627,4
407,0.392,0.964,10,-4.441,0,0.0644,7.13e-05,0.0387,0.106,0.269,167.024,audio_features,0faXHILILebCGnJBPU6KJJ,spotify:track:0faXHILILebCGnJBPU6KJJ,https://api.spotify.com/v1/tracks/0faXHILILebCGnJBPU6KJJ,https://api.spotify.com/v1/audio-analysis/0faXHILILebCGnJBPU6KJJ,200547,4
408,0.634,0.862,6,-5.421,1,0.132,0.137,0.0,0.119,0.411,80.744,audio_features,4FfWWltvPJfxsrg1Unk29R,spotify:track:4FfWWltvPJfxsrg1Unk29R,https://api.spotify.com/v1/tracks/4FfWWltvPJfxsrg1Unk29R,https://api.spotify.com/v1/audio-analysis/4FfWWltvPJfxsrg1Unk29R,159360,4
409,0.814,0.484,6,-10.962,1,0.299,0.931,5.35e-05,0.117,0.658,116.024,audio_features,2zmo93xTzKTP0lztR9iy9H,spotify:track:2zmo93xTzKTP0lztR9iy9H,https://api.spotify.com/v1/tracks/2zmo93xTzKTP0lztR9iy9H,https://api.spotify.com/v1/audio-analysis/2zmo93xTzKTP0lztR9iy9H,58869,4
410,0.856,0.84,6,-7.736,0,0.334,0.0973,0.0,0.0773,0.792,95.416,audio_features,7EQvdUJqZ2i7SWvSB2VqGA,spotify:track:7EQvdUJqZ2i7SWvSB2VqGA,https://api.spotify.com/v1/tracks/7EQvdUJqZ2i7SWvSB2VqGA,https://api.spotify.com/v1/audio-analysis/7EQvdUJqZ2i7SWvSB2VqGA,298053,4
411,0.748,0.741,6,-3.103,1,0.0531,0.00419,0.0,0.147,0.537,128.077,audio_features,7KFEIFuxnRRIRqN065WKTu,spotify:track:7KFEIFuxnRRIRqN065WKTu,https://api.spotify.com/v1/tracks/7KFEIFuxnRRIRqN065WKTu,https://api.spotify.com/v1/audio-analysis/7KFEIFuxnRRIRqN065WKTu,213053,4
412,0.9,0.483,1,-6.248,1,0.0798,0.0958,0.0,0.0766,0.419,94.023,audio_features,5jOQciaYrQnTOX5e4Xi681,spotify:track:5jOQciaYrQnTOX5e4Xi681,https://api.spotify.com/v1/tracks/5jOQciaYrQnTOX5e4Xi681,https://api.spotify.com/v1/audio-analysis/5jOQciaYrQnTOX5e4Xi681,229787,4
413,0.597,0.931,11,-4.591,0,0.0984,0.127,0.0,0.0504,0.534,92.003,audio_features,0DKNNR9iDjwfCEpMiFXMJq,spotify:track:0DKNNR9iDjwfCEpMiFXMJq,https://api.spotify.com/v1/tracks/0DKNNR9iDjwfCEpMiFXMJq,https://api.spotify.com/v1/audio-analysis/0DKNNR9iDjwfCEpMiFXMJq,235200,4
414,0.499,0.862,3,-4.528,1,0.0443,0.000418,0.0,0.229,0.541,129.858,audio_features,0F5zHkYUwIBp5STtBJopmX,spotify:track:0F5zHkYUwIBp5STtBJopmX,https://api.spotify.com/v1/tracks/0F5zHkYUwIBp5STtBJopmX,https://api.spotify.com/v1/audio-analysis/0F5zHkYUwIBp5STtBJopmX,151387,4
415,0.865,0.691,3,-4.845,0,0.0501,0.0305,0.303,0.0964,0.456,124.972,audio_features,0CJ1quCQhVX9Ax2jYwwovA,spotify:track:0CJ1quCQhVX9Ax2jYwwovA,https://api.spotify.com/v1/tracks/0CJ1quCQhVX9Ax2jYwwovA,https://api.spotify.com/v1/audio-analysis/0CJ1quCQhVX9Ax2jYwwovA,269800,4
416,0.801,0.529,1,-14.875,1,0.0962,0.0406,0.000609,0.0936,0.721,106.965,audio_features,3zCg6CUmhxHukbUs0nd7ar,spotify:track:3zCg6CUmhxHukbUs0nd7ar,https://api.spotify.com/v1/tracks/3zCg6CUmhxHukbUs0nd7ar,https://api.spotify.com/v1/audio-analysis/3zCg6CUmhxHukbUs0nd7ar,209067,4
417,0.812,0.644,0,-10.761,1,0.0493,0.0877,0.785,0.0563,0.989,140.075,audio_features,7Bz8yww6UMbTgTVLG6zbI4,spotify:track:7Bz8yww6UMbTgTVLG6zbI4,https://api.spotify.com/v1/tracks/7Bz8yww6UMbTgTVLG6zbI4,https://api.spotify.com/v1/audio-analysis/7Bz8yww6UMbTgTVLG6zbI4,190827,4
418,0.626,0.615,1,-6.142,1,0.346,0.265,0.0,0.0812,0.611,52.145,audio_features,6snYsavG9vq3C7RGN98dst,spotify:track:6snYsavG9vq3C7RGN98dst,https://api.spotify.com/v1/tracks/6snYsavG9vq3C7RGN98dst,https://api.spotify.com/v1/audio-analysis/6snYsavG9vq3C7RGN98dst,166841,3
419,0.664,0.564,11,-7.603,1,0.547,0.202,0.0,0.103,0.423,156.127,audio_features,4qXEN80Adg2BcSdgi8bWr9,spotify:track:4qXEN80Adg2BcSdgi8bWr9,https://api.spotify.com/v1/tracks/4qXEN80Adg2BcSdgi8bWr9,https://api.spotify.com/v1/audio-analysis/4qXEN80Adg2BcSdgi8bWr9,228520,4
420,0.826,0.49,9,-10.477,1,0.0676,0.00916,4.41e-06,0.0415,0.627,74.126,audio_features,75FYqcxt1YEAtqDLrOeIJn,spotify:track:75FYqcxt1YEAtqDLrOeIJn,https://api.spotify.com/v1/tracks/75FYqcxt1YEAtqDLrOeIJn,https://api.spotify.com/v1/audio-analysis/75FYqcxt1YEAtqDLrOeIJn,180267,4
421,0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,audio_features,5ruzrDWcT0vuJIOMW7gMnW,spotify:track:5ruzrDWcT0vuJIOMW7gMnW,https://api.spotify.com/v1/tracks/5ruzrDWcT0vuJIOMW7gMnW,https://api.spotify.com/v1/audio-analysis/5ruzrDWcT0vuJIOMW7gMnW,309053,4
422,0.35,0.775,11,-3.364,1,0.054,0.00433,0.283,0.0676,0.588,199.866,audio_features,6u0x5ad9ewHvs3z6u9Oe3c,spotify:track:6u0x5ad9ewHvs3z6u9Oe3c,https://api.spotify.com/v1/tracks/6u0x5ad9ewHvs3z6u9Oe3c,https://api.spotify.com/v1/audio-analysis/6u0x5ad9ewHvs3z6u9Oe3c,235547,4
423,0.645,0.528,9,-6.058,0,0.282,0.214,0.00664,0.113,0.728,90.519,audio_features,5806dHnFsv4FdGheAviDJU,spotify:track:5806dHnFsv4FdGheAviDJU,https://api.spotify.com/v1/tracks/5806dHnFsv4FdGheAviDJU,https://api.spotify.com/v1/audio-analysis/5806dHnFsv4FdGheAviDJU,270063,4
424,0.862,0.482,4,-6.332,0,0.0384,0.318,1.08e-06,0.127,0.508,112.003,audio_features,5G9fgmdZOZFPmb0aEwm5uN,spotify:track:5G9fgmdZOZFPmb0aEwm5uN,https://api.spotify.com/v1/tracks/5G9fgmdZOZFPmb0aEwm5uN,https://api.spotify.com/v1/audio-analysis/5G9fgmdZOZFPmb0aEwm5uN,171912,4
