,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
86,0.382,0.589,9,-7.315,0,0.0267,0.0465,0.0,0.122,0.335,140.059,audio_features,7Ewz6bJ97vUqk5HdkvguFQ,spotify:track:7Ewz6bJ97vUqk5HdkvguFQ,https://api.spotify.com/v1/tracks/7Ewz6bJ97vUqk5HdkvguFQ,https://api.spotify.com/v1/audio-analysis/7Ewz6bJ97vUqk5HdkvguFQ,243360,4
87,0.572,0.654,7,-7.027,0,0.0344,0.0058,3.21e-06,0.09,0.399,122.491,audio_features,3cbV252akVZInSvJk7jAYX,spotify:track:3cbV252akVZInSvJk7jAYX,https://api.spotify.com/v1/tracks/3cbV252akVZInSvJk7jAYX,https://api.spotify.com/v1/audio-analysis/3cbV252akVZInSvJk7jAYX,237053,4
88,0.798,0.625,11,-9.689,1,0.0548,0.00547,7.98e-05,0.103,0.858,93.764,audio_features,6kWJvPfC4DgUpRsXKNa9z9,spotify:track:6kWJvPfC4DgUpRsXKNa9z9,https://api.spotify.com/v1/tracks/6kWJvPfC4DgUpRsXKNa9z9,https://api.spotify.com/v1/audio-analysis/6kWJvPfC4DgUpRsXKNa9z9,211213,4
89,0.623,0.987,10,-8.523,0,0.0452,0.0562,0.954,0.293,0.691,142.855,audio_features,5G976RmOXLKXedSWAe21N6,spotify:track:5G976RmOXLKXedSWAe21N6,https://api.spotify.com/v1/tracks/5G976RmOXLKXedSWAe21N6,https://api.spotify.com/v1/audio-analysis/5G976RmOXLKXedSWAe21N6,216427,4
90,0.671,0.882,8,-6.149,0,0.0552,0.00181,0.667,0.285,0.787,136.955,audio_features,5XVjNRubJUW0iPhhSWpLCj,spotify:track:5XVjNRubJUW0iPhhSWpLCj,https://api.spotify.com/v1/tracks/5XVjNRubJUW0iPhhSWpLCj,https://api.spotify.com/v1/audio-analysis/5XVjNRubJUW0iPhhSWpLCj,214883,4
91,0.802,0.855,11,-6.158,0,0.0413,0.233,0.00148,0.0959,0.35,141.02,audio_features,46T7WAIHdt9v6xsqtWU6CH,spotify:track:46T7WAIHdt9v6xsqtWU6CH,https://api.spotify.com/v1/tracks/46T7WAIHdt9v6xsqtWU6CH,https://api.spotify.com/v1/audio-analysis/46T7WAIHdt9v6xsqtWU6CH,213893,4
92,0.842,0.697,10,-13.796,0,0.0654,0.161,0.000101,0.583,0.916,134.533,audio_features,3L9ClO1W5KmebIXTrlKShF,spotify:track:3L9ClO1W5KmebIXTrlKShF,https://api.spotify.com/v1/tracks/3L9ClO1W5KmebIXTrlKShF,https://api.spotify.com/v1/audio-analysis/3L9ClO1W5KmebIXTrlKShF,267227,4
93,0.77,0.838,5,-6.674,0,0.0492,0.0394,0.8,0.0544,0.687,135.97,audio_features,3UHbGZAqgrlvODJzLW8oTC,spotify:track:3UHbGZAqgrlvODJzLW8oTC,https://api.spotify.com/v1/tracks/3UHbGZAqgrlvODJzLW8oTC,https://api.spotify.com/v1/audio-analysis/3UHbGZAqgrlvODJzLW8oTC,221766,4
94,0.82,0.937,5,-4.81,0,0.0542,0.139,7.51e-05,0.325,0.922,131.006,audio_features,6kQz6t5z1FK4uohPh8Kd73,spotify:track:6kQz6t5z1FK4uohPh8Kd73,https://api.spotify.com/v1/tracks/6kQz6t5z1FK4uohPh8Kd73,https://api.spotify.com/v1/audio-analysis/6kQz6t5z1FK4uohPh8Kd73,238227,4
95,0.724,0.498,11,-13.083,0,0.0423,0.0405,8.56e-05,0.0761,0.823,88.825,audio_features,7j74lucZ59vqN67Ipe2ZcY,spotify:track:7j74lucZ59vqN67Ipe2ZcY,https://api.spotify.com/v1/tracks/7j74lucZ59vqN67Ipe2ZcY,https://api.spotify.com/v1/audio-analysis/7j74lucZ59vqN67Ipe2ZcY,273173,4
96,0.832,0.544,6,-12.697,1,0.0442,0.201,0.000139,0.632,0.928,119.49,audio_features,5tdKaKLnC4SgtDZ6RlWeal,spotify:track:5tdKaKLnC4SgtDZ6RlWeal,https://api.spotify.com/v1/tracks/5tdKaKLnC4SgtDZ6RlWeal,https://api.spotify.com/v1/audio-analysis/5tdKaKLnC4SgtDZ6RlWeal,275533,4
97,0.529,0.843,6,-6.908,0,0.0616,0.0628,0.000827,0.0608,0.188,117.662,audio_features,3MrRksHupTVEQ7YbA0FsZK,spotify:track:3MrRksHupTVEQ7YbA0FsZK,https://api.spotify.com/v1/tracks/3MrRksHupTVEQ7YbA0FsZK,https://api.spotify.com/v1/audio-analysis/3MrRksHupTVEQ7YbA0FsZK,310333,4
98,0.857,0.468,1,-8.53,1,0.0476,0.00414,1.32e-05,0.269,0.843,89.119,audio_features,4uOKFydzAejjSFqYbv1XPt,spotify:track:4uOKFydzAejjSFqYbv1XPt,https://api.spotify.com/v1/tracks/4uOKFydzAejjSFqYbv1XPt,https://api.spotify.com/v1/audio-analysis/4uOKFydzAejjSFqYbv1XPt,183733,4
99,0.677,0.985,1,-4.678,1,0.0549,0.07,3.62e-05,0.351,0.87,118.092,audio_features,6jJCk7oHNwyowOUaF3gXEu,spotify:track:6jJCk7oHNwyowOUaF3gXEu,https://api.spotify.com/v1/tracks/6jJCk7oHNwyowOUaF3gXEu,https://api.spotify.com/v1/audio-analysis/6jJCk7oHNwyowOUaF3gXEu,220227,4
100,0.74,0.923,1,-5.082,1,0.0369,0.105,0.000163,0.0825,0.93,128.871,audio_features,5LYJ631w9ps5h9tdvac7yP,spotify:track:5LYJ631w9ps5h9tdvac7yP,https://api.spotify.com/v1/tracks/5LYJ631w9ps5h9tdvac7yP,https://api.spotify.com/v1/audio-analysis/5LYJ631w9ps5h9tdvac7yP,305867,4
101,0.268,0.459,10,-6.94,1,0.0346,0.378,0.0,0.118,0.175,64.177,audio_features,1lCRw5FEZ1gPDNPzy1K4zW,spotify:track:1lCRw5FEZ1gPDNPzy1K4zW,https://api.spotify.com/v1/tracks/1lCRw5FEZ1gPDNPzy1K4zW,https://api.spotify.com/v1/audio-analysis/1lCRw5FEZ1gPDNPzy1K4zW,179200,4
102,0.708,0.832,1,-4.736,0,0.0362,0.392,1.33e-06,0.0561,0.968,99.953,audio_features,2Iib2MV3ECFJAourgP9dlY,spotify:track:2Iib2MV3ECFJAourgP9dlY,https://api.spotify.com/v1/tracks/2Iib2MV3ECFJAourgP9dlY,https://api.spotify.com/v1/audio-analysis/2Iib2MV3ECFJAourgP9dlY,242947,4
103,0.65,0.82,5,-10.9,0,0.0356,0.0662,0.00272,0.215,0.757,135.982,audio_features,623rRTKwGmgjH6sjE9uWLh,spotify:track:623rRTKwGmgjH6sjE9uWLh,https://api.spotify.com/v1/tracks/623rRTKwGmgjH6sjE9uWLh,https://api.spotify.com/v1/audio-analysis/623rRTKwGmgjH6sjE9uWLh,215973,4
104,0.638,0.877,7,-4.449,1,0.0302,0.0771,0.0221,0.364,0.743,139.052,audio_features,52LJ3hyknOijCrE5gCD0rE,spotify:track:52LJ3hyknOijCrE5gCD0rE,https://api.spotify.com/v1/tracks/52LJ3hyknOijCrE5gCD0rE,https://api.spotify.com/v1/audio-analysis/52LJ3hyknOijCrE5gCD0rE,242053,4
105,0.841,0.933,5,-7.022,1,0.058,0.316,0.0,0.18,0.944,100.011,audio_features,0IprUQmGWvCtnbcpHj9UIi,spotify:track:0IprUQmGWvCtnbcpHj9UIi,https://api.spotify.com/v1/tracks/0IprUQmGWvCtnbcpHj9UIi,https://api.spotify.com/v1/audio-analysis/0IprUQmGWvCtnbcpHj9UIi,226000,4
106,0.633,0.952,9,-4.274,0,0.0338,0.0532,1.73e-06,0.989,0.765,95.423,audio_features,5luOvrlnzfvJQdQjrScVj4,spotify:track:5luOvrlnzfvJQdQjrScVj4,https://api.spotify.com/v1/tracks/5luOvrlnzfvJQdQjrScVj4,https://api.spotify.com/v1/audio-analysis/5luOvrlnzfvJQdQjrScVj4,249500,4
107,0.729,0.936,9,-7.536,1,0.0776,0.0129,0.000892,0.0367,0.598,131.986,audio_features,06hsdMbBxWGqBO0TV0Zrkf,spotify:track:06hsdMbBxWGqBO0TV0Zrkf,https://api.spotify.com/v1/tracks/06hsdMbBxWGqBO0TV0Zrkf,https://api.spotify.com/v1/audio-analysis/06hsdMbBxWGqBO0TV0Zrkf,194000,4
108,0.658,0.963,1,-3.283,0,0.0326,0.00283,2.38e-06,0.951,0.793,134.798,audio_features,3vSn1frPgFcRXrjWOfhMLl,spotify:track:3vSn1frPgFcRXrjWOfhMLl,https://api.spotify.com/v1/tracks/3vSn1frPgFcRXrjWOfhMLl,https://api.spotify.com/v1/audio-analysis/3vSn1frPgFcRXrjWOfhMLl,240867,4
109,0.613,0.487,7,-8.781,1,0.0935,0.412,1.02e-05,0.286,0.699,143.332,audio_features,5haXbSJqjjM0TCJ5XkfEaC,spotify:track:5haXbSJqjjM0TCJ5XkfEaC,https://api.spotify.com/v1/tracks/5haXbSJqjjM0TCJ5XkfEaC,https://api.spotify.com/v1/audio-analysis/5haXbSJqjjM0TCJ5XkfEaC,165800,4
110,0.703,0.826,10,-7.179,0,0.0341,0.0322,0.00629,0.179,0.945,103.564,audio_features,3mRM4NM8iO7UBqrSigCQFH,spotify:track:3mRM4NM8iO7UBqrSigCQFH,https://api.spotify.com/v1/tracks/3mRM4NM8iO7UBqrSigCQFH,https://api.spotify.com/v1/audio-analysis/3mRM4NM8iO7UBqrSigCQFH,285373,4
111,0.65,0.306,9,-9.443,1,0.0393,0.57,7.07e-06,0.0707,0.605,118.068,audio_features,3SdTKo2uVsxFblQjpScoHy,spotify:track:3SdTKo2uVsxFblQjpScoHy,https://api.spotify.com/v1/tracks/3SdTKo2uVsxFblQjpScoHy,https://api.spotify.com/v1/audio-analysis/3SdTKo2uVsxFblQjpScoHy,180056,4
112,0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804,audio_features,0GjEhVFGZW8afUYGChu3Rr,spotify:track:0GjEhVFGZW8afUYGChu3Rr,https://api.spotify.com/v1/tracks/0GjEhVFGZW8afUYGChu3Rr,https://api.spotify.com/v1/audio-analysis/0GjEhVFGZW8afUYGChu3Rr,230400,4
113,0.651,0.87,0,-5.149,1,0.0318,0.103,0.00815,0.0979,0.729,103.857,audio_features,4OeFQtRyT7vsLnRTv7t8YT,spotify:track:4OeFQtRyT7vsLnRTv7t8YT,https://api.spotify.com/v1/tracks/4OeFQtRyT7vsLnRTv7t8YT,https://api.spotify.com/v1/audio-analysis/4OeFQtRyT7vsLnRTv7t8YT,330253,4
114,0.624,0.842,5,-5.285,1,0.0376,0.264,2.11e-05,0.181,0.257,111.037,audio_features,1z3ugFmUKoCzGsI6jdY4Ci,spotify:track:1z3ugFmUKoCzGsI6jdY4Ci,https://api.spotify.com/v1/tracks/1z3ugFmUKoCzGsI6jdY4Ci,https://api.spotify.com/v1/audio-analysis/1z3ugFmUKoCzGsI6jdY4Ci,342680,4
