,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
255,0.825,0.832,5,-5.853,0,0.0403,0.00587,0.000789,0.114,0.713,122.021,audio_features,6nCDnzErqalOaIY3EJM8NK,spotify:track:6nCDnzErqalOaIY3EJM8NK,https://api.spotify.com/v1/tracks/6nCDnzErqalOaIY3EJM8NK,https://api.spotify.com/v1/audio-analysis/6nCDnzErqalOaIY3EJM8NK,220627,4
256,0.724,0.695,11,-5.226,1,0.0622,0.073,0.0,0.0889,0.235,139.0,audio_features,4fixebDZAVToLbUCuEloa2,spotify:track:4fixebDZAVToLbUCuEloa2,https://api.spotify.com/v1/tracks/4fixebDZAVToLbUCuEloa2,https://api.spotify.com/v1/audio-analysis/4fixebDZAVToLbUCuEloa2,224400,4
257,0.906,0.584,8,-7.72,0,0.316,0.0576,0.0,0.128,0.831,129.055,audio_features,5Nu1cp2yi4TlZF4KTmElFD,spotify:track:5Nu1cp2yi4TlZF4KTmElFD,https://api.spotify.com/v1/tracks/5Nu1cp2yi4TlZF4KTmElFD,https://api.spotify.com/v1/audio-analysis/5Nu1cp2yi4TlZF4KTmElFD,292373,4
258,0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024,audio_features,3ZFTkvIE7kyPt6Nu3PEa7V,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,https://api.spotify.com/v1/tracks/3ZFTkvIE7kyPt6Nu3PEa7V,https://api.spotify.com/v1/audio-analysis/3ZFTkvIE7kyPt6Nu3PEa7V,218093,4
259,0.671,0.685,11,-5.762,0,0.05,0.00165,0.0,0.398,0.368,118.449,audio_features,21pySLskKIKrhDziCX5ojQ,spotify:track:21pySLskKIKrhDziCX5ojQ,https://api.spotify.com/v1/tracks/21pySLskKIKrhDziCX5ojQ,https://api.spotify.com/v1/audio-analysis/21pySLskKIKrhDziCX5ojQ,245680,4
260,0.728,0.859,5,-5.237,0,0.137,0.0401,0.0,0.111,0.535,65.043,audio_features,6epn3r7S14KUqlReYr77hA,spotify:track:6epn3r7S14KUqlReYr77hA,https://api.spotify.com/v1/tracks/6epn3r7S14KUqlReYr77hA,https://api.spotify.com/v1/audio-analysis/6epn3r7S14KUqlReYr77hA,214240,4
261,0.926,0.916,10,-2.221,0,0.0929,0.35,6.17e-06,0.0234,0.904,110.007,audio_features,6KM6693N1wVvz6tDviEF4F,spotify:track:6KM6693N1wVvz6tDviEF4F,https://api.spotify.com/v1/tracks/6KM6693N1wVvz6tDviEF4F,https://api.spotify.com/v1/audio-analysis/6KM6693N1wVvz6tDviEF4F,199853,4
262,0.767,0.682,1,-5.02,1,0.042,0.0113,0.00016,0.104,0.833,127.975,audio_features,0C4ejWmOTMv8vuYj85mf8m,spotify:track:0C4ejWmOTMv8vuYj85mf8m,https://api.spotify.com/v1/tracks/0C4ejWmOTMv8vuYj85mf8m,https://api.spotify.com/v1/audio-analysis/0C4ejWmOTMv8vuYj85mf8m,243533,4
263,0.967,0.583,7,-5.562,0,0.0789,0.0584,0.0,0.0519,0.964,117.0,audio_features,0O45fw2L5vsWpdsOdXwNAR,spotify:track:0O45fw2L5vsWpdsOdXwNAR,https://api.spotify.com/v1/tracks/0O45fw2L5vsWpdsOdXwNAR,https://api.spotify.com/v1/audio-analysis/0O45fw2L5vsWpdsOdXwNAR,242733,4
264,0.736,0.74,0,-2.18,1,0.0786,0.515,0.0,0.0468,0.803,140.141,audio_features,66TRwr5uJwPt15mfFkzhbi,spotify:track:66TRwr5uJwPt15mfFkzhbi,https://api.spotify.com/v1/tracks/66TRwr5uJwPt15mfFkzhbi,https://api.spotify.com/v1/audio-analysis/66TRwr5uJwPt15mfFkzhbi,221933,4
265,0.791,0.713,5,-3.742,0,0.254,0.0163,0.0,0.189,0.514,130.012,audio_features,4H1ZiD0aytFHoOiosVmT1w,spotify:track:4H1ZiD0aytFHoOiosVmT1w,https://api.spotify.com/v1/tracks/4H1ZiD0aytFHoOiosVmT1w,https://api.spotify.com/v1/audio-analysis/4H1ZiD0aytFHoOiosVmT1w,192573,4
266,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,audio_features,6I9VzXrHxO9rA9A5euc8Ak,spotify:track:6I9VzXrHxO9rA9A5euc8Ak,https://api.spotify.com/v1/tracks/6I9VzXrHxO9rA9A5euc8Ak,https://api.spotify.com/v1/audio-analysis/6I9VzXrHxO9rA9A5euc8Ak,198800,4
267,0.894,0.678,6,-5.611,0,0.0523,0.00569,2.43e-06,0.317,0.844,105.024,audio_features,0eH2eHURaXUP15D8gQlfjx,spotify:track:0eH2eHURaXUP15D8gQlfjx,https://api.spotify.com/v1/tracks/0eH2eHURaXUP15D8gQlfjx,https://api.spotify.com/v1/audio-analysis/0eH2eHURaXUP15D8gQlfjx,216333,4
